product_id,skin_type
P505338,combination
P505338,dry
P505338,normal
P424985,combination
P424985,dry
P424985,oily
P424985,normal
P472467,oily
P472467,combination
P472467,dry
P472467,normal
P474839,combination
P474839,oily
P474839,dry
P474839,normal
P421271,combination
P421271,dry
P421271,normal
P421271,oily
P482328,dry
P482328,combination
P482328,normal
P482328,oily
P469517,dry
P469517,combination
P469517,oily
P469517,normal
P480608,combination
P480608,normal
P480608,dry
P480608,oily
P502200,combination
P502200,normal
P502200,dry
P502200,oily
P432421,combination
P432421,normal
P432421,dry
P432421,oily
P503809,combination
P503809,normal
P503809,dry
P503809,oily
P456991,dry
P456991,normal
P456991,combination
P456991,oily
P450587,oily
P450587,combination
P450587,dry
P450587,normal
P383051,combination
P383051,normal
P383051,oily
P383051,dry
P474838,normal
P474838,combination
P474838,oily
P474838,dry
P438643,oily
P438643,combination
P438643,normal
P438643,dry
P404169,dry
P404169,combination
P404169,normal
P404169,oily
P471040,oily
P471040,combination
P471040,normal
P471040,dry
P479701,oily
P479701,dry
P479701,normal
P479701,combination
P402943,combination
P402943,normal
P402943,oily
P402943,dry
P504523,combination
P504523,oily
P504523,dry
P504523,normal
P440306,combination
P440306,dry
P440306,oily
P440306,normal
P401570,normal
P401570,combination
P401570,dry
P401570,oily
P382356,dry
P382356,combination
P382356,normal
P382356,oily
P502197,combination
P502197,dry
P502197,normal
P502197,oily
P456413,combination
P456413,dry
P456413,oily
P456413,normal
P450947,combination
P450947,oily
P450947,dry
P450947,normal
P438628,combination
P438628,oily
P438628,dry
P438628,normal
P422005,dry
P422005,normal
P422005,combination
P422005,oily
P410101,normal
P410101,combination
P410101,dry
P410101,oily
P500753,dry
P500753,combination
P500753,oily
P500753,normal
P442539,combination
P442539,dry
P442539,normal
P442539,oily
P447773,combination
P447773,normal
P447773,dry
P447773,oily
P438635,combination
P438635,dry
P438635,oily
P438635,normal
P399656,dry
P399656,combination
P399656,normal
P399656,oily
P453822,combination
P453822,normal
P453822,oily
P453822,dry
P503683,oily
P503683,combination
P503683,dry
P503683,normal
P481341,dry
P481341,combination
P481341,normal
P481341,oily
P482005,combination
P482005,normal
P482005,oily
P482005,dry
P399622,dry
P399622,combination
P399622,normal
P399622,oily
P459131,combination
P459131,normal
P459131,oily
P459131,dry
P431733,dry
P431733,oily
P431733,combination
P431733,normal
P502479,combination
P502479,dry
P502479,normal
P502479,oily
P386759,combination
P386759,dry
P386759,normal
P386759,oily
P412407,combination
P412407,oily
P412407,normal
P412407,dry
P469110,dry
P469110,combination
P469110,normal
P469110,oily
P475907,combination
P475907,normal
P475907,oily
P475907,dry
P476894,dry
P476894,combination
P476894,oily
P476894,normal
P500111,oily
P500111,combination
P500111,dry
P500111,normal
P440490,normal
P440490,oily
P440490,combination
P440490,dry
P502749,combination
P502749,normal
P502749,oily
P502749,dry
P479703,oily
P479703,combination
P479703,dry
P479703,normal
P408241,combination
P408241,normal
P408241,oily
P408241,dry
P422428,normal
P422428,combination
P422428,dry
P422428,oily
P504016,normal
P504016,dry
P504016,combination
P504016,oily
P504031,normal
P504031,dry
P504031,combination
P504031,oily
P502691,combination
P502691,dry
P502691,normal
P502691,oily
P461161,combination
P461161,normal
P461161,dry
P461161,oily
P395723,dry
P395723,normal
P395723,oily
P395723,combination
P404168,dry
P404168,combination
P404168,normal
P442546,normal
P442546,dry
P442546,combination
P442546,oily
P481086,dry
P481086,combination
P481086,normal
P481086,oily
P500160,combination
P500160,dry
P500160,oily
P500160,normal
P473336,normal
P473336,combination
P473336,oily
P473336,dry
P469478,combination
P469478,normal
P469478,dry
P469478,oily
P411360,combination
P411360,dry
P411360,oily
P411360,normal
P475188,combination
P475188,dry
P475188,normal
P475188,oily
P473723,dry
P473723,normal
P473723,combination
P473723,oily
P476678,combination
P476678,normal
P476678,dry
P476678,oily
P434340,combination
P434340,oily
P434340,dry
P434340,normal
P454395,combination
P454395,dry
P454395,normal
P454395,oily
P379704,dry
P379704,combination
P379704,normal
P379704,oily
P440502,oily
P440502,dry
P440502,combination
P440502,normal
P474972,dry
P474972,normal
P474972,combination
P474972,oily
P406941,combination
P406941,dry
P406941,oily
P406941,normal
P454090,combination
P454090,dry
P454090,normal
P454090,oily
P467028,combination
P467028,dry
P467028,normal
P467028,oily
P475906,normal
P475906,combination
P475906,dry
P475906,oily
P476540,combination
P476540,dry
P476540,oily
P476540,normal
P447597,dry
P447597,combination
P447597,oily
P447597,normal
P502169,combination
P502169,dry
P502169,normal
P502169,oily
P480603,combination
P480603,dry
P480603,oily
P480603,normal
P404232,combination
P404232,oily
P404232,normal
P404232,dry
P469513,dry
P469513,combination
P469513,normal
P469513,oily
P440486,oily
P440486,dry
P440486,combination
P440486,normal
P502741,dry
P502741,combination
P502741,normal
P502741,oily
P476893,combination
P476893,oily
P476893,normal
P476893,dry
P440485,oily
P440485,normal
P440485,combination
P440485,dry
P501316,combination
P501316,normal
P501316,oily
P501316,dry
P475143,normal
P475143,combination
P475143,dry
P475143,oily
P483496,combination
P483496,dry
P483496,oily
P483496,normal
P437960,normal
P437960,combination
